building_code,date,labels,cooling,heating,electrical
"AdHum","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0, 0, 0, 0, 0, 0, 0]","[23.99, 60.78, 56.32, 51.08, 42.89, 58.11, 7.95]","[19.15, 31.1, 30.5, 29.67, 26.1, 29.72, 4.47]"
"Dr. John Archer Library","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0.72, 0.85, 0, 0.99, 0.84, 0.89, 0.21]","[26.29, 37.17, 32.03, 30.28, 28.43, 36.35, 5.27]","[12.16, 14, 13.97, 13.77, 13.66, 13.95, 0.68]"
"Centre for Kinesiology","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0.8, 3, 3.41, 3.57, 2.92, 2.63, 0.38]","[63.75, 65.65, 67.77, 54.12, 44.77, 63.15, 14.74]","[26.54, 30.11, 29.99, 29.85, 29.58, 29.28, 3.07]"
"Classroom Building","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0, 0, 0.12, 0, 0, 0, 0]","[0, 0, 0, 69.14, 0, 0, 0]","[8.76, 12.88, 12.67, 12.8, 12.62, 12.13, 1.56]"
"College West","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0.12, 0.2, 0.18, 0.19, 0.17, 0.13, 0.04]","[17.1, 32.36, 33.2, 30.58, 28.57, 34.89, 5.77]","[8.15, 14.48, 13.38, 14.25, 14.17, 13.37, 1.46]"
"Education Building","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0.04, 0, 0, 0.03, 0, 0, 0]","[19.37, 40.08, 39.5, 36.4, 35.81, 36.33, 7.16]","[15.88, 28.21, 28.38, 27.96, 28.69, 24.71, 2.87]"
"Greenhouse Gas Technology Centre","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0.03, 0.03, 0.02, 0.05, 0, 0, 0]","[13.31, 21.51, 19.65, 15.45, 14.68, 18.75, 4.04]","[7.54, 8.77, 8.67, 8.03, 7.69, 8.81, 1.07]"
"Laboratory Building","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0, 0.13, 0.1, 0.08, 0.11, 0.04, 0.1]","[46.3, 65.87, 64.4, 0, 58.52, 66.76, 12.49]","[17.36, 19.48, 19.93, 19.83, 20.03, 19.35, 3.14]"
"Kīšik Towers","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0, 0, 0, 0, 0, 0, 0]","[8.69, 12.99, 11.68, 12.61, 12.03, 12.42, 1.65]","[4.54, 6.7, 6.64, 6.5, 6.49, 6.35, 0.87]"
"Paskwāw and Wakpá Towers","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[1.92, 3.14, 3.21, 3.44, 2.78, 2.74, 0.46]","[29.98, 46.13, 47.75, 34.97, 36.65, 44.67, 12.77]","[21.59, 22.15, 22.49, 22, 21.91, 21.57, 3.77]"
"Research and Innovation Centre","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[7.47, 0.51, 0, 0, 0, 0, 0]","[21.31, 35.03, 29.78, 26.88, 23.67, 31.52, 6.61]","[13.67, 16.37, 16.49, 16.28, 16.54, 16.27, 2.52]"
"Ridell Centre","Sunday March 9, 2025 - Saturday March 15, 2025","[['Sunday', 'March 9', 'Low: 1°C', 'High: 2°C'], ['Monday', 'March 10', 'Low: -12°C', 'High: -12°C'], ['Tuesday', 'March 11', 'Low: -3°C', 'High: -3°C'], ['Wednesday', 'March 12', 'Low: -2°C', 'High: -2°C'], ['Thursday', 'March 13', 'Low: -2°C', 'High: -2°C'], ['Friday', 'March 14', 'Low: -13°C', 'High: -13°C'], ['Saturday', 'March 15', 'Low: -17°C', 'High: -16°C']]","[0.02, 0, 0, 0.01, 0, 0, 0]","[35.8, 59.08, 56.91, 51.6, 46.84, 52.37, 8.91]","[19.13, 26.49, 26.91, 26.29, 26.1, 25.13, 3.02]"
